Date,Close,High,Low,Open,Volume
2022-07-25,150.218658,152.271332,149.560625,151.259727,53623900
2022-07-26,148.892776,150.356159,148.107060,149.540979,55138700
2022-07-27,153.990051,154.520416,149.442744,149.855241,78620700
2022-07-28,154.540054,154.824869,151.652554,154.176652,81378700
2022-07-29,159.607910,160.707920,156.651668,158.360600,101786900
2022-08-01,158.625809,160.668667,158.016885,158.134738,67829400
2022-08-02,157.152588,159.509738,156.779384,157.240992,59907000
2022-08-03,163.163269,163.615046,157.879340,157.967729,82507500
2022-08-04,162.848984,164.204345,161.493623,163.045409,55474100
2022-08-05,162.622787,163.114541,160.311541,160.518084,56697000
2022-08-08,162.150711,165.042223,161.491764,163.625971,60276900
2022-08-09,162.199860,163.085024,160.557406,161.314710,63135500
2022-08-10,166.448639,166.546981,164.147222,164.914356,70170500
2022-08-11,165.711014,168.169780,165.415959,167.255111,57149200
2022-08-12,169.261490,169.330328,166.606010,167.019096,68039400
2022-08-15,170.333466,170.530164,168.523818,168.691012,54091700
2022-08-16,170.176117,170.844909,168.828718,169.930240,56377100
2022-08-17,171.671082,173.244683,169.723743,169.920441,79542000
2022-08-18,171.277649,172.015279,170.264638,170.884252,62290100
2022-08-19,168.691040,170.874426,168.484497,170.176129,70346300
2022-08-22,164.806168,167.058391,164.383252,166.891196,69026800
2022-08-23,164.471786,165.927387,163.901351,164.324267,54147100
2022-08-24,164.766815,165.337251,163.507928,164.560287,53841500
2022-08-25,167.225616,167.333803,165.573333,165.996233,51218200
2022-08-26,160.921326,168.228787,160.862318,167.756708,78961000
2022-08-29,158.718307,160.213227,157.184040,158.492090,73314000
2022-08-30,156.289017,159.878809,155.118642,159.455909,77906200
2022-08-31,154.626862,157.931443,154.548179,157.665892,87991100
2022-09-01,155.354691,155.807095,152.118946,154.056455,74229900
2022-09-02,153.240158,157.715116,152.414016,157.115176,76957800
2022-09-06,151.981262,154.499037,151.155120,153.889267,73714800
2022-09-07,153.387680,154.085961,151.076434,152.266483,87449600
2022-09-08,151.912445,153.781102,150.161789,152.089469,84923800
2022-09-09,154.774399,155.216989,152.197617,152.905743,68028800
2022-09-12,160.734451,161.550763,156.672580,156.957790,104956000
2022-09-13,151.302628,157.892118,150.840378,157.262674,122656600
2022-09-14,152.748383,154.508867,151.076425,152.236955,87965400
2022-09-15,149.856888,152.679562,148.883226,152.099282,90481100
2022-09-16,148.214417,148.853705,145.922845,148.716014,162278800
2022-09-19,151.932083,152.010765,146.640828,146.847356,81474200
2022-09-20,154.312164,155.472710,150.555177,150.869892,107689800
2022-09-21,151.184616,156.121823,151.066600,154.744905,101696800
2022-09-22,150.220795,151.922257,148.420976,149.866732,86652500
2022-09-23,147.948868,148.971723,146.109716,148.696342,96029900
2022-09-26,148.283264,151.233783,147.171897,147.191571,93339400
2022-09-27,149.256912,152.168098,147.476768,150.220759,84442700
2022-09-28,147.368607,148.155415,142.451074,145.204895,146691400
2022-09-29,140.130020,144.300094,138.359705,143.690324,128138200
2022-09-30,135.920624,140.739816,135.723925,138.949826,124925300
2022-10-03,140.100464,140.710248,135.418979,135.930407,114311700
2022-10-04,143.690353,143.808369,141.880689,142.637994,87830100
2022-10-05,143.985336,144.949183,140.651250,141.693780,79471000
2022-10-06,143.031342,145.106541,142.824814,143.405079,68402200
2022-10-07,137.779419,140.739783,137.149975,140.189007,85925600
2022-10-10,138.103958,139.549714,136.284480,138.103958,74899000
2022-10-11,136.687714,139.018634,135.940254,137.592538,77033700
2022-10-12,136.058273,138.044960,135.881249,136.835252,70433700
2022-10-13,140.631592,141.221687,132.153756,132.763540,113224000
2022-10-14,136.097610,142.136339,135.910742,141.929796,88598000
2022-10-17,140.061188,140.543096,137.956484,138.743292,85250900
2022-10-18,141.379044,144.280384,138.290834,143.090350,99136600
2022-10-19,141.487213,142.559231,139.166138,139.353006,61758300
2022-10-20,141.025009,143.483776,140.297209,140.661117,64522000
2022-10-21,144.841034,145.411470,140.297223,140.513596,86548600
2022-10-24,146.985016,147.752150,143.591922,144.762297,75981900
2022-10-25,149.827408,149.974943,146.896562,147.614518,74732300
2022-10-26,146.886688,149.483145,145.598282,148.470134,88194300
2022-10-27,142.411743,146.591646,141.752796,145.627814,109180200
2022-10-28,153.171295,154.902261,145.381926,145.755648,164762400
2022-10-31,150.810867,151.696032,149.414290,150.633843,97943200
2022-11-01,148.165253,152.886087,146.670334,152.522194,80379300
2022-11-02,142.637924,149.660159,142.608420,146.493267,93604600
2022-11-03,136.589386,140.444730,136.461525,139.716929,97918500
2022-11-04,136.323410,140.549646,132.382858,139.978264,140814800
2022-11-07,136.855362,137.081939,133.653664,135.072265,83374600
2022-11-08,137.426743,139.328052,135.446621,138.323222,89908500
2022-11-09,132.865555,136.490870,132.589717,136.441610,74917800
2022-11-10,144.687195,144.687195,137.426733,139.140879,118854000
2022-11-11,147.475159,147.780549,142.224371,143.652833,93979700
2022-11-14,146.076248,148.046524,145.238875,146.755996,73374100
2022-11-15,147.810089,151.307332,146.352089,149.957698,89868300
2022-11-16,146.578659,147.642610,145.100952,146.913617,64218300
2022-11-17,148.479996,149.228695,143.977908,144.253745,80389400
2022-11-18,149.041504,150.430552,147.741130,150.046349,74829600
2022-11-21,145.810257,148.135183,145.524574,147.928312,58724100
2022-11-22,147.948013,148.184452,144.746315,145.928492,51804100
2022-11-23,148.824814,149.573513,147.120514,147.228880,58301400
2022-11-25,145.908798,146.667359,144.933506,146.105823,35195900
2022-11-28,142.076584,144.460616,141.249072,142.982909,69246000
2022-11-29,139.071960,142.657863,138.264155,142.145587,83763800
2022-11-30,145.829956,146.509704,138.461129,139.298487,111380900
2022-12-01,146.105820,146.913640,144.431088,146.007315,71250400
2022-12-02,145.613235,145.800414,143.485334,143.790739,65447400
2022-12-05,144.450821,148.677057,143.603601,145.573878,68826400
2022-12-06,140.786057,145.110811,139.810765,144.884234,64727200
2022-12-07,138.845352,141.239230,137.919320,140.076775,69721100
2022-12-08,140.529922,141.387003,139.002971,140.244239,62128300
2022-12-09,140.047226,143.406550,138.805942,140.224544,76097000
2022-12-12,142.342606,142.352452,138.963574,140.579200,70462700
2022-12-13,143.308029,147.741150,142.096314,147.278134,93886200
2022-12-14,141.081604,144.480327,139.062068,143.189798,82291200
2022-12-15,134.471344,139.692579,134.008328,139.012831,98931900
2022-12-16,132.510895,135.604227,131.742488,134.658503,160156900
2022-12-19,130.402756,133.190699,129.368373,133.102040,79592600
2022-12-20,130.333771,131.269649,127.959584,129.437291,77432800
2022-12-21,133.436951,134.776739,130.777081,131.003658,85928000
2022-12-22,130.264801,132.560175,128.363492,132.353304,77852100
2022-12-23,129.900284,130.451959,127.713276,128.974252,63814900
2022-12-27,128.097473,129.456968,126.806945,129.427415,69007800
2022-12-28,124.166786,129.082622,123.999315,127.742834,85438400
2022-12-29,127.683716,128.540781,125.831659,126.087790,75703700
2022-12-30,127.998978,128.018685,125.536140,126.501579,77034200
2023-01-03,123.211197,128.954545,122.324571,128.343764,112117500
2023-01-04,124.482040,126.747861,123.221065,125.004162,89113600
2023-01-05,123.161934,125.871063,122.905803,125.240575,80962700
2023-01-06,127.693573,128.353614,123.033875,124.137232,87754700
2023-01-09,128.215714,131.427273,127.959583,128.530965,70790800
2023-01-10,128.787064,129.309185,126.215853,128.324048,63896200
2023-01-11,131.506058,131.525750,128.521091,129.299344,69458900
2023-01-12,131.427261,132.264620,129.486538,131.890277,71379600
